Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Division,League
82,"Wednesday, Jun 28",boxscore,OAK,,NYY,L,0,11,,21-61,5,29.0,Germán,Sears,,2:30,N,12479,.00,-,,AL West,AL
83,"Thursday, Jun 29",boxscore,OAK,,NYY,L,4,10,,21-62,5,29.0,Schmidt,Harris,,2:47,D,14718,.00,--,,AL West,AL
84,"Friday, Jun 30",boxscore,OAK,,CHW,W,7,4,,22-62,5,28.0,Medina,Banks,May,2:34,N,14181,.00,+,,AL West,AL
85,"Saturday, Jul 1",boxscore,OAK,,CHW,W-wo,7,6,10,23-62,5,28.0,Fujinami,Graveman,,3:20,D,9235,.00,++,,AL West,AL
86,"Sunday, Jul 2",boxscore,OAK,,CHW,L,7,8,,23-63,5,28.0,Bummer,Blackburn,Santos,2:56,D,12107,.00,-,,AL West,AL
87,"Tuesday, Jul 4",boxscore,OAK,@,DET,W,1,0,10,24-63,5,27.5,Fujinami,Holton,May,2:33,N,26749,.00,+,,AL West,AL
88,"Wednesday, Jul 5",boxscore,OAK,@,DET,W,12,3,,25-63,5,26.5,Waldichuk,Rodriguez,,2:35,N,15149,.00,++,,AL West,AL
89,"Thursday, Jul 6",boxscore,OAK,@,DET,L,0,9,,25-64,5,26.5,Lorenzen,Harris,,2:18,D,15133,.00,-,,AL West,AL
90,"Friday, Jul 7",boxscore,OAK,@,BOS,L,3,7,,25-65,5,27.5,Pivetta,Long,,2:21,N,31157,.00,--,,AL West,AL
91,"Saturday, Jul 8",boxscore,OAK,@,BOS,L,3,10,,25-66,5,27.5,Paxton,Pruitt,Walter,2:42,D,34087,.00,---,,AL West,AL
92,"Sunday, Jul 9",boxscore,OAK,@,BOS,L,3,4,,25-67,5,27.5,Martin,Waldichuk,Jansen,3:05,D,35460,.00,----,,AL West,AL
93,"Friday, Jul 14",boxscore,OAK,,MIN,L,4,5,,25-68,5,28.5,Jax,Fujinami,Duran,3:28,N,7923,.00,-----,,AL West,AL
94,"Saturday, Jul 15",boxscore,OAK,,MIN,L,7,10,,25-69,5,29.5,Moran,Tarnok,Duran,3:06,D,10534,.00,------,,AL West,AL
95,"Sunday, Jul 16",boxscore,OAK,,MIN,L,4,5,,25-70,5,30.5,López,Erceg,Duran,2:48,D,9335,.00,-------,,AL West,AL
96,"Monday, Jul 17",boxscore,OAK,,BOS,L,0,7,,25-71,5,31.5,Pivetta,Blackburn,,2:37,N,9987,.00,--------,,AL West,AL
97,"Tuesday, Jul 18",boxscore,OAK,,BOS,W,3,0,,26-71,5,31.5,Medina,Jacques,May,2:15,N,10115,.00,+,,AL West,AL
98,"Wednesday, Jul 19",boxscore,OAK,,BOS,W,6,5,,27-71,5,31.5,Felipe,Bello,May,2:43,D,15023,.00,++,,AL West,AL
99,"Thursday, Jul 20",boxscore,OAK,,HOU,L,1,3,,27-72,5,32.0,France,Harris,Pressly,2:12,N,4757,.00,-,,AL West,AL
100,"Friday, Jul 21",boxscore,OAK,,HOU,L,4,6,,27-73,5,32.0,Valdez,Sears,Pressly,2:40,N,6810,.00,--,,AL West,AL
101,"Saturday, Jul 22",boxscore,OAK,,HOU,W,4,1,,28-73,5,31.0,Pruitt,Javier,May,2:57,N,14507,.00,+,,AL West,AL
102,"Sunday, Jul 23",boxscore,OAK,,HOU,L,2,3,,28-74,5,32.0,Neris,Smith,Abreu,2:36,D,11231,.00,-,,AL West,AL
103,"Tuesday, Jul 25",boxscore,OAK,@,SFG,L,1,2,,28-75,5,31.5,Rogers,Erceg,Doval,2:20,N,40014,.00,--,,AL West,AL
104,"Wednesday, Jul 26",boxscore,OAK,@,SFG,L,3,8,,28-76,5,32.5,Wood,Harris,,2:28,N,36142,.00,---,,AL West,AL
1,"Thursday, Mar 30",boxscore,ATL,@,WSN,W,7,2,,1-0,1,Tied,Luetge,Corbin,,3:07,D,35756,.99,+,,NL East,NL
2,"Saturday, Apr 1",boxscore,ATL,@,WSN,W,7,1,,2-0,1,up 0.5,Strider,Gray,,2:21,D,27529,1.08,++,,NL East,NL
3,"Sunday, Apr 2",boxscore,ATL,@,WSN,L,1,4,,2-1,2,0.5,Gore,Shuster,Finnegan,2:17,D,21440,1.09,-,,NL East,NL
4,"Monday, Apr 3",boxscore,ATL,@,STL,W,8,4,,3-1,1,up 0.5,Morton,Woodford,,2:46,N,37689,1.00,+,,NL East,NL
5,"Tuesday, Apr 4",boxscore,ATL,@,STL,W,4,1,,4-1,1,up 1.5,Dodd,Matz,Minter,2:20,N,36501,1.06,++,,NL East,NL
6,"Wednesday, Apr 5",boxscore,ATL,@,STL,W,5,2,,5-1,1,up 2.5,Elder,Mikolas,Chavez,2:27,D,36300,1.09,+++,,NL East,NL
7,"Thursday, Apr 6",boxscore,ATL,,SDP,W-wo,7,6,,6-1,1,up 3.0,Minter,Crismatt,,3:14,N,42803,1.13,++++,,NL East,NL
8,"Friday, Apr 7",boxscore,ATL,,SDP,L,4,5,,6-2,1,up 2.0,Honeywell,Tonkin,Hader,3:01,N,41963,1.17,-,,NL East,NL
9,"Saturday, Apr 8",boxscore,ATL,,SDP,L,1,4,,6-3,1,up 1.0,Wacha,Morton,Hader,2:55,N,40154,1.14,--,,NL East,NL
10,"Sunday, Apr 9",boxscore,ATL,,SDP,L,2,10,,6-4,1,up 1.0,Lugo,Dodd,,2:50,N,40138,1.11,---,,NL East,NL
11,"Monday, Apr 10",boxscore,ATL,,CIN,W-wo,5,4,10,7-4,1,up 1.0,Lee,Law,,2:47,N,30237,1.07,+,,NL East,NL
12,"Tuesday, Apr 11",boxscore,ATL,,CIN,W,7,6,,8-4,1,up 2.0,Tonkin,Cessa,Anderson,2:44,N,33559,1.12,++,,NL East,NL
13,"Wednesday, Apr 12",boxscore,ATL,,CIN,W,5,4,,9-4,1,up 2.0,Yates,Farmer,Minter,2:32,N,30648,1.12,+++,,NL East,NL
14,"Friday, Apr 14",boxscore,ATL,@,KCR,W,10,3,,10-4,1,up 2.0,Morton,Singer,,2:22,N,20186,1.08,++++,,NL East,NL
15,"Saturday, Apr 15",boxscore,ATL,@,KCR,W,9,3,,11-4,1,up 2.0,Elder,Bubic,,2:48,D,17644,1.16,+++++,,NL East,NL
16,"Sunday, Apr 16",boxscore,ATL,@,KCR,W,5,4,,12-4,1,up 2.0,Anderson,Barlow,Minter,2:21,D,22040,1.15,++++++,,NL East,NL
17,"Monday, Apr 17",boxscore,ATL,@,SDP,W,2,0,,13-4,1,up 2.0,Fried,Weathers,Minter,2:22,N,31846,1.21,+++++++,,NL East,NL
18,"Tuesday, Apr 18",boxscore,ATL,@,SDP,W,8,1,,14-4,1,up 3.0,Strider,Snell,,2:32,N,42693,1.21,++++++++,,NL East,NL
19,"Wednesday, Apr 19",boxscore,ATL,@,SDP,L,0,1,,14-5,1,up 2.0,Martinez,Morton,Hader,2:13,D,29581,1.22,-,,NL East,NL
20,"Friday, Apr 21",boxscore,ATL,,HOU,L,4,6,,14-6,1,up 0.5,Neris,Minter,Pressly,2:50,N,41397,1.15,--,,NL East,NL
21,"Saturday, Apr 22",boxscore,ATL,,HOU,L,3,6,,14-7,1,up 0.5,Valdez,Wright,Abreu,2:22,N,42399,1.16,---,,NL East,NL
22,"Sunday, Apr 23",boxscore,ATL,,HOU,L,2,5,,14-8,1,up 0.5,Neris,Minter,Abreu,2:52,D,41530,1.11,----,,NL East,NL
23,"Monday, Apr 24",boxscore,ATL,,MIA,W,11,0,,15-8,1,up 1.0,Strider,Cabrera,,2:21,N,28241,1.24,+,,NL East,NL
24,"Tuesday, Apr 25",boxscore,ATL,,MIA,W,7,4,,16-8,1,up 2.0,Morton,Hoeing,,2:32,N,34059,1.27,++,,NL East,NL
25,"Wednesday, Apr 26",boxscore,ATL,,MIA,W,6,4,,17-8,1,up 3.0,Tonkin,Floro,Minter,2:28,N,30282,1.29,+++,,NL East,NL
26,"Thursday, Apr 27",boxscore,ATL,,MIA,L,4,5,,17-9,1,up 2.0,Puk,Minter,Floro,2:34,D,32196,1.31,-,,NL East,NL
27,"Friday, Apr 28",boxscore,ATL,@,NYM,W,4,0,5,18-9,1,up 3.0,Fried,Peterson,,1:23,N,29240,1.39,+,,NL East,NL
28,"Monday, May 1 (1)",boxscore,ATL,@,NYM,W,9,8,,19-9,1,up 3.0,Strider,Reyes,Minter,2:53,D,,1.34,++,,NL East,NL
29,"Monday, May 1 (2)",boxscore,ATL,@,NYM,L,3,5,,19-10,1,up 3.0,Smith,Morton,Robertson,2:32,D,27603,1.37,-,,NL East,NL
30,"Tuesday, May 2",boxscore,ATL,@,MIA,W,6,0,,20-10,1,up 3.5,Elder,Alcantara,,2:40,N,8626,1.32,+,,NL East,NL
31,"Wednesday, May 3",boxscore,ATL,@,MIA,W,14,6,,21-10,1,up 5.0,McHugh,Garrett,,2:37,N,10428,1.35,++,,NL East,NL
32,"Thursday, May 4",boxscore,ATL,@,MIA,W,6,3,,22-10,1,up 6.0,Dodd,Luzardo,Minter,2:36,D,8295,1.32,+++,,NL East,NL
33,"Friday, May 5",boxscore,ATL,,BAL,L,4,9,,22-11,1,up 5.0,Kremer,Fried,,2:45,N,40176,1.20,-,,NL East,NL
34,"Saturday, May 6",boxscore,ATL,,BAL,W,5,4,,23-11,1,up 6.0,Minter,Coulombe,Iglesias,2:52,N,41454,1.23,+,,NL East,NL
35,"Sunday, May 7",boxscore,ATL,,BAL,W-wo,3,2,12,24-11,1,up 7.0,Tonkin,Pérez,,3:29,D,40800,1.14,++,,NL East,NL
36,"Tuesday, May 9",boxscore,ATL,,BOS,W,9,3,,25-11,1,up 7.5,Morton,Pivetta,,2:42,N,36805,1.16,+++,,NL East,NL
37,"Wednesday, May 10",boxscore,ATL,,BOS,L,2,5,,25-12,1,up 6.5,Bello,Minter,Jansen,2:43,N,40270,1.14,-,,NL East,NL
38,"Friday, May 12",boxscore,ATL,@,TOR,L,0,3,,25-13,1,up 6.0,Bassitt,Strider,,2:12,N,35047,1.16,--,,NL East,NL
39,"Saturday, May 13",boxscore,ATL,@,TOR,L,2,5,,25-14,1,up 5.0,Swanson,Minter,Romano,2:50,D,41341,1.21,---,,NL East,NL
40,"Sunday, May 14",boxscore,ATL,@,TOR,L-wo,5,6,,25-15,1,up 5.0,Pearson,Iglesias,,3:04,D,40895,1.24,----,,NL East,NL
41,"Monday, May 15",boxscore,ATL,@,TEX,W,12,0,,26-15,1,up 6.0,Morton,Bradford,,2:31,N,26791,1.25,+,,NL East,NL
42,"Tuesday, May 16",boxscore,ATL,@,TEX,L,4,7,,26-16,1,up 5.0,Dunning,Shuster,Smith,2:15,N,23246,1.20,-,,NL East,NL
43,"Wednesday, May 17",boxscore,ATL,@,TEX,W,6,5,,27-16,1,up 5.0,Anderson,Burke,Iglesias,2:29,N,30035,1.27,+,,NL East,NL
44,"Friday, May 19",boxscore,ATL,,SEA,W,6,2,,28-16,1,up 5.5,McHugh,Miller,,2:29,N,40412,1.19,++,,NL East,NL
45,"Saturday, May 20",boxscore,ATL,,SEA,L,3,7,,28-17,1,up 4.5,Gilbert,Tonkin,,2:46,N,40250,1.19,-,,NL East,NL
46,"Sunday, May 21",boxscore,ATL,,SEA,W,3,2,,29-17,1,up 5.0,Shuster,Kirby,Iglesias,2:05,D,40213,1.27,+,,NL East,NL
47,"Monday, May 22",boxscore,ATL,,LAD,L,6,8,,29-18,1,up 4.5,Phillips,Morton,Graterol,2:54,N,40205,1.31,-,,NL East,NL
48,"Tuesday, May 23",boxscore,ATL,,LAD,L,1,8,,29-19,1,up 4.5,Miller,Strider,,2:48,N,36731,1.33,--,,NL East,NL
49,"Wednesday, May 24",boxscore,ATL,,LAD,W-wo,4,3,,30-19,1,up 5.5,Iglesias,Bickford,,2:42,N,37838,1.38,+,,NL East,NL
50,"Thursday, May 25",boxscore,ATL,,PHI,W,8,5,,31-19,1,up 5.5,Anderson,Soto,Iglesias,2:44,N,43216,1.43,++,,NL East,NL
51,"Friday, May 26",boxscore,ATL,,PHI,L,4,6,,31-20,1,up 4.5,Walker,Jiménez,Kimbrel,2:55,N,40533,1.37,-,,NL East,NL
52,"Saturday, May 27",boxscore,ATL,,PHI,L,1,2,,31-21,1,up 4.5,Wheeler,Morton,Kimbrel,2:24,D,42665,1.37,--,,NL East,NL
53,"Sunday, May 28",boxscore,ATL,,PHI,W,11,4,,32-21,1,up 4.5,Strider,Covey,,2:52,N,43109,1.48,+,,NL East,NL
54,"Monday, May 29",boxscore,ATL,@,OAK,L,2,7,,32-22,1,up 4.0,Erceg,Soroka,,2:31,N,8556,1.25,-,,NL East,NL
55,"Tuesday, May 30",boxscore,ATL,@,OAK,L-wo,1,2,,32-23,1,up 4.0,Fujinami,Iglesias,,2:19,N,5116,1.28,--,,NL East,NL
56,"Wednesday, May 31",boxscore,ATL,@,OAK,W,4,2,,33-23,1,up 4.0,Shuster,Kaprielian,Iglesias,2:19,D,6429,1.31,+,,NL East,NL
57,"Friday, Jun 2",boxscore,ATL,@,ARI,L,2,3,,33-24,1,up 3.5,Kelly,Morton,Castro,2:11,N,27469,1.38,-,,NL East,NL
58,"Saturday, Jun 3",boxscore,ATL,@,ARI,W,5,2,,34-24,1,up 3.5,Strider,Nelson,Iglesias,2:44,N,36529,1.41,+,,NL East,NL
59,"Sunday, Jun 4",boxscore,ATL,@,ARI,W,8,5,,35-24,1,up 3.5,Minter,Castro,Iglesias,3:13,D,32401,1.39,++,,NL East,NL
60,"Tuesday, Jun 6",boxscore,ATL,,NYM,W,6,4,,36-24,1,up 3.0,Elder,Smith,Iglesias,2:38,N,37365,1.46,+++,,NL East,NL
61,"Wednesday, Jun 7",boxscore,ATL,,NYM,W,7,5,,37-24,1,up 3.0,Anderson,Raley,Minter,2:54,N,40178,1.36,++++,,NL East,NL
62,"Thursday, Jun 8",boxscore,ATL,,NYM,W-wo,13,10,10,38-24,1,up 3.5,Iglesias,Hunter,,3:33,N,39347,1.36,+++++,,NL East,NL
63,"Friday, Jun 9",boxscore,ATL,,WSN,W,3,2,,39-24,1,up 4.5,Yates,Finnegan,Iglesias,2:46,N,40297,1.25,++++++,,NL East,NL
64,"Saturday, Jun 10",boxscore,ATL,,WSN,W,6,4,,40-24,1,up 4.5,Shuster,Gore,Minter,2:22,D,40799,1.17,+++++++,,NL East,NL
65,"Sunday, Jun 11",boxscore,ATL,,WSN,L,2,6,,40-25,1,up 3.5,Williams,Elder,,2:23,D,36744,1.15,-,,NL East,NL
66,"Monday, Jun 12",boxscore,ATL,@,DET,L-wo,5,6,10,40-26,1,up 3.5,Lange,Jiménez,,3:07,N,18742,1.16,--,,NL East,NL
67,"Wednesday, Jun 14 (1)",boxscore,ATL,@,DET,W,10,7,,41-26,1,up 4.5,Strider,Olson,,3:12,D,,1.23,+,,NL East,NL
68,"Wednesday, Jun 14 (2)",boxscore,ATL,@,DET,W,6,5,,42-26,1,up 4.5,McHugh,Lorenzen,Minter,2:22,D,24186,1.19,++,,NL East,NL
69,"Thursday, Jun 15",boxscore,ATL,,COL,W,8,3,,43-26,1,up 5.0,Smith-Shawver,Freeland,Tonkin,2:33,N,38555,1.18,+++,,NL East,NL
70,"Friday, Jun 16",boxscore,ATL,,COL,W,8,1,,44-26,1,up 5.0,Shuster,Lamet,,2:14,N,41214,1.15,++++,,NL East,NL
71,"Saturday, Jun 17",boxscore,ATL,,COL,W,10,2,,45-26,1,up 5.0,Elder,Seabold,,2:31,D,41558,1.09,+++++,,NL East,NL
72,"Sunday, Jun 18",boxscore,ATL,,COL,W,14,6,,46-26,1,up 5.0,Morton,Anderson,,3:01,D,41161,1.06,++++++,,NL East,NL
73,"Tuesday, Jun 20",boxscore,ATL,@,PHI,W,4,2,,47-26,1,up 5.5,Strider,Hoffman,Iglesias,2:46,N,37746,1.19,+++++++,,NL East,NL
74,"Thursday, Jun 22",boxscore,ATL,@,PHI,W,5,1,10,48-26,1,up 6.0,Iglesias,Marte,,2:57,D,39570,1.11,++++++++,,NL East,NL
75,"Friday, Jun 23",boxscore,ATL,@,CIN,L,10,11,,48-27,1,up 6.0,Young,McHugh,Díaz,3:13,N,43086,.98,-,,NL East,NL
76,"Saturday, Jun 24",boxscore,ATL,@,CIN,W,7,6,,49-27,1,up 6.0,Tonkin,Ashcraft,Iglesias,3:09,D,43498,1.06,+,,NL East,NL
77,"Sunday, Jun 25",boxscore,ATL,@,CIN,W,7,6,,50-27,1,up 6.0,Morton,Wynne,Iglesias,3:28,D,40140,.95,++,,NL East,NL
78,"Monday, Jun 26",boxscore,ATL,,MIN,W,4,1,,51-27,1,up 6.5,Strider,Gray,Yates,2:23,N,40884,.80,+++,,NL East,NL
79,"Tuesday, Jun 27",boxscore,ATL,,MIN,W,6,2,,52-27,1,up 6.5,Elder,Ryan,,2:34,N,42635,.76,++++,,NL East,NL
80,"Wednesday, Jun 28",boxscore,ATL,,MIN,W,3,0,,53-27,1,up 6.5,Yates,Maeda,Iglesias,2:24,D,38260,.74,+++++,,NL East,NL
81,"Friday, Jun 30",boxscore,ATL,,MIA,W,16,4,,54-27,1,up 7.0,Soroka,Hoeing,,2:30,N,42320,1.07,++++++,,NL East,NL
82,"Saturday, Jul 1",boxscore,ATL,,MIA,W,7,0,,55-27,1,up 8.0,Morton,Pérez,,2:31,D,41889,.96,+++++++,,NL East,NL
83,"Sunday, Jul 2",boxscore,ATL,,MIA,W,6,3,,56-27,1,up 9.0,Strider,Alcantara,Iglesias,2:32,D,40932,.83,++++++++,,NL East,NL
84,"Monday, Jul 3",boxscore,ATL,@,CLE,W,4,2,,57-27,1,up 9.0,Elder,Williams,Iglesias,2:26,N,38106,.51,+++++++++,,NL East,NL
85,"Tuesday, Jul 4",boxscore,ATL,@,CLE,L-wo,5,6,10,57-28,1,up 8.0,De Los Santos,Iglesias,,3:02,N,24808,.46,-,,NL East,NL
86,"Wednesday, Jul 5",boxscore,ATL,@,CLE,W,8,1,,58-28,1,up 8.0,Tonkin,Quantrill,,2:56,N,23862,.52,+,,NL East,NL
87,"Friday, Jul 7",boxscore,ATL,@,TBR,W,2,1,,59-28,1,up 9.5,Morton,Glasnow,Iglesias,2:19,N,25025,.50,++,,NL East,NL
88,"Saturday, Jul 8",boxscore,ATL,@,TBR,W,6,1,,60-28,1,up 9.5,Strider,Bradley,,2:46,N,25025,.44,+++,,NL East,NL
89,"Sunday, Jul 9",boxscore,ATL,@,TBR,L,4,10,,60-29,1,up 8.5,Eflin,Elder,,2:29,D,25025,.40,-,,NL East,NL
90,"Friday, Jul 14",boxscore,ATL,,CHW,W,9,0,,61-29,1,up 9.5,Morton,Kopech,,2:32,N,42782,.43,+,,NL East,NL
91,"Saturday, Jul 15",boxscore,ATL,,CHW,L,5,6,,61-30,1,up 9.5,Lynn,Strider,Graveman,2:44,N,43344,.33,-,,NL East,NL
92,"Sunday, Jul 16",boxscore,ATL,,CHW,L,1,8,,61-31,1,up 9.5,Cease,Allard,,2:44,D,40174,.44,--,,NL East,NL
93,"Tuesday, Jul 18",boxscore,ATL,,ARI,L,13,16,,61-32,1,up 9.5,Castro,Iglesias,Ginkel,3:05,N,41100,.46,---,,NL East,NL
94,"Wednesday, Jul 19",boxscore,ATL,,ARI,L,3,5,,61-33,1,up 9.5,Nelson,Morton,Ginkel,2:26,N,41992,.54,----,,NL East,NL
95,"Thursday, Jul 20",boxscore,ATL,,ARI,W,7,5,,62-33,1,up10.5,Yates,Castro,Iglesias,2:29,D,38791,.57,+,,NL East,NL
96,"Friday, Jul 21",boxscore,ATL,@,MIL,W,6,4,,63-33,1,up11.5,Soroka,Peralta,Yates,2:32,N,37698,.53,++,,NL East,NL
97,"Saturday, Jul 22",boxscore,ATL,@,MIL,L,3,4,,63-34,1,up11.5,Payamps,Jiménez,Williams,2:32,N,39707,.46,-,,NL East,NL
98,"Sunday, Jul 23",boxscore,ATL,@,MIL,W,4,2,,64-34,1,up11.5,Hernández,Peguero,Iglesias,2:35,D,38605,.49,+,,NL East,NL
99,"Tuesday, Jul 25",boxscore,ATL,@,BOS,L,1,7,,64-35,1,up11.0,Pivetta,Morton,,2:54,N,36663,.32,-,,NL East,NL
100,"Wednesday, Jul 26",boxscore,ATL,@,BOS,L,3,5,,64-36,1,up10.0,Jacques,Johnson,Jansen,2:29,N,37457,.42,--,,NL East,NL
1,"Thursday, Mar 30",boxscore,PHI,@,TEX,L,7,11,,0-1,3,1.0,Ragans,Soto,,3:04,D,38387,.91,-,,NL East,NL
2,"Saturday, Apr 1",boxscore,PHI,@,TEX,L,3,16,,0-2,4,2.0,Eovaldi,Wheeler,,3:10,D,31916,.91,--,,NL East,NL
3,"Sunday, Apr 2",boxscore,PHI,@,TEX,L,1,2,,0-3,5,2.5,Pérez,Falter,Smith,2:24,N,25823,.84,---,,NL East,NL
4,"Monday, Apr 3",boxscore,PHI,@,NYY,L,1,8,,0-4,5,3.0,Cortes,Walker,,2:41,N,37202,.78,----,,NL East,NL
5,"Tuesday, Apr 4",boxscore,PHI,@,NYY,W,4,1,,1-4,4,3.0,Bellatti,Germán,,2:45,N,35392,.73,+,,NL East,NL
6,"Wednesday, Apr 5",boxscore,PHI,@,NYY,L,2,4,,1-5,4,4.0,Cole,Nola,Holmes,2:30,D,35847,.82,-,,NL East,NL
7,"Friday, Apr 7",boxscore,PHI,,CIN,W,5,2,,2-5,4,3.5,Soto,Law,Kimbrel,2:43,D,44365,.82,+,,NL East,NL
8,"Saturday, Apr 8",boxscore,PHI,,CIN,W-wo,3,2,,3-5,3,2.5,Vasquez,Díaz,,2:47,D,44526,.83,++,,NL East,NL
9,"Sunday, Apr 9",boxscore,PHI,,CIN,L,4,6,,3-6,4,2.5,Herget,Domínguez,Gibaut,2:42,D,39129,.90,-,,NL East,NL
10,"Monday, Apr 10",boxscore,PHI,,MIA,W,15,3,,4-6,3,2.5,Strahm,Alcantara,,2:29,N,28642,.90,+,,NL East,NL
11,"Tuesday, Apr 11",boxscore,PHI,,MIA,L,4,8,,4-7,4,3.5,Luzardo,Nola,,2:57,N,43444,.91,-,,NL East,NL
12,"Wednesday, Apr 12",boxscore,PHI,,MIA,L,2,3,10,4-8,4,4.5,Puk,Soto,,2:40,D,29584,.87,--,,NL East,NL
13,"Thursday, Apr 13",boxscore,PHI,@,CIN,L,2,6,,4-9,4,5.0,Lodolo,Falter,Díaz,2:34,N,12170,.79,---,,NL East,NL
14,"Friday, Apr 14",boxscore,PHI,@,CIN,W,8,3,,5-9,4,5.0,Walker,Overton,,2:42,N,17610,.76,+,,NL East,NL
15,"Saturday, Apr 15",boxscore,PHI,@,CIN,L,0,13,,5-10,4,6.0,Ashcraft,Strahm,,2:39,D,25860,.79,-,,NL East,NL
16,"Sunday, Apr 16",boxscore,PHI,@,CIN,W,14,3,,6-10,4,6.0,Nola,Cessa,,3:02,D,13115,.72,+,,NL East,NL
17,"Tuesday, Apr 18 (1)",boxscore,PHI,@,CHW,W,7,4,,7-10,4,7.0,Wheeler,Lynn,Alvarado,2:43,D,,.72,++,,NL East,NL
18,"Tuesday, Apr 18 (2)",boxscore,PHI,@,CHW,L,0,3,,7-11,4,7.0,Giolito,Falter,López,2:09,D,12542,.75,-,,NL East,NL
19,"Wednesday, Apr 19",boxscore,PHI,@,CHW,W,5,2,,8-11,4,6.0,Walker,Clevinger,Alvarado,2:23,D,10149,.68,+,,NL East,NL
20,"Thursday, Apr 20",boxscore,PHI,,COL,L,0,5,,8-12,4,6.5,Feltner,Strahm,,2:40,N,35062,.80,-,,NL East,NL
21,"Friday, Apr 21",boxscore,PHI,,COL,W,4,3,,9-12,4,5.5,Domínguez,Hand,Alvarado,2:35,N,43261,.71,+,,NL East,NL
22,"Saturday, Apr 22",boxscore,PHI,,COL,W,4,3,,10-12,4,4.5,Brogdon,Freeland,Kimbrel,2:26,D,41939,.73,++,,NL East,NL
23,"Sunday, Apr 23",boxscore,PHI,,COL,W,9,3,,11-12,4,3.5,Wheeler,Ureña,,2:43,D,44618,.79,+++,,NL East,NL
24,"Tuesday, Apr 25",boxscore,PHI,,SEA,L,3,5,,11-13,4,5.0,Gonzales,Falter,Sewald,2:38,N,42323,.85,-,,NL East,NL
25,"Wednesday, Apr 26",boxscore,PHI,,SEA,W,6,5,,12-13,3,5.0,Kimbrel,Topa,Alvarado,2:34,N,32641,.83,+,,NL East,NL
26,"Thursday, Apr 27",boxscore,PHI,,SEA,W,1,0,,13-13,3,4.0,Strahm,Kirby,Kimbrel,2:04,D,31543,.87,++,,NL East,NL
27,"Friday, Apr 28",boxscore,PHI,@,HOU,W,3,1,,14-13,3,4.0,Nola,Valdez,Alvarado,2:26,N,40719,.90,+++,,NL East,NL
28,"Saturday, Apr 29",boxscore,PHI,@,HOU,W,6,1,,15-13,3,3.5,Wheeler,Javier,,2:51,D,41240,.94,++++,,NL East,NL
29,"Sunday, Apr 30",boxscore,PHI,@,HOU,L,3,4,,15-14,4,4.0,Urquidy,Falter,Pressly,2:46,N,41669,.95,-,,NL East,NL
30,"Monday, May 1",boxscore,PHI,@,LAD,L,4,13,,15-15,4,4.5,González,Walker,,2:49,N,42137,1.01,--,,NL East,NL
31,"Tuesday, May 2",boxscore,PHI,@,LAD,L,1,13,,15-16,4,5.5,Urías,Strahm,,2:44,N,42780,.97,---,,NL East,NL
32,"Wednesday, May 3",boxscore,PHI,@,LAD,L-wo,6,10,,15-17,4,6.5,Graterol,Kimbrel,,2:56,D,36539,.94,----,,NL East,NL
33,"Friday, May 5",boxscore,PHI,,BOS,L,3,5,,15-18,4,7.0,Sale,Wheeler,Jansen,2:41,N,43322,.80,-----,,NL East,NL
34,"Saturday, May 6",boxscore,PHI,,BOS,L,4,7,,15-19,4,8.0,Kluber,Falter,Jansen,2:50,N,43832,.78,------,,NL East,NL
35,"Sunday, May 7",boxscore,PHI,,BOS,W,6,1,,16-19,4,8.0,Walker,Houck,Strahm,2:14,D,44669,.72,+,,NL East,NL
36,"Tuesday, May 9",boxscore,PHI,,TOR,W,8,4,,17-19,3,8.0,Nola,Manoah,,3:10,N,44544,.75,++,,NL East,NL
37,"Wednesday, May 10",boxscore,PHI,,TOR,W-wo,2,1,10,18-19,3,7.0,Kimbrel,Mayza,,2:56,D,31758,.83,+++,,NL East,NL
38,"Friday, May 12",boxscore,PHI,@,COL,W,6,3,,19-19,2,6.0,Strahm,Lawrence,Kimbrel,2:15,N,32038,.91,++++,,NL East,NL
39,"Saturday, May 13",boxscore,PHI,@,COL,W,7,4,,20-19,2,5.0,Brogdon,Feltner,Soto,2:51,N,34006,.96,+++++,,NL East,NL
40,"Sunday, May 14",boxscore,PHI,@,COL,L,0,4,,20-20,2,5.0,Freeland,Nola,,2:33,D,30325,1.01,-,,NL East,NL
41,"Monday, May 15",boxscore,PHI,@,SFG,L,3,6,,20-21,2,6.0,Alexander,Falter,Doval,2:33,N,23819,1.01,--,,NL East,NL
42,"Tuesday, May 16",boxscore,PHI,@,SFG,L,3,4,,20-22,3,6.0,Rogers,Wheeler,Doval,2:42,N,24304,.95,---,,NL East,NL
43,"Wednesday, May 17",boxscore,PHI,@,SFG,L,4,7,,20-23,4,7.0,Brebbia,Soto,Doval,2:55,D,25303,.93,----,,NL East,NL
44,"Friday, May 19",boxscore,PHI,,CHC,L,1,10,,20-24,4,8.0,Stroman,Suárez,,2:54,N,42110,.86,-----,,NL East,NL
45,"Saturday, May 20",boxscore,PHI,,CHC,W,12,3,,21-24,4,7.0,Nola,Taillon,,2:47,D,42508,.81,+,,NL East,NL
46,"Sunday, May 21",boxscore,PHI,,CHC,W,2,1,,22-24,4,7.0,Strahm,Alzolay,Kimbrel,2:36,D,44108,.88,++,,NL East,NL
